Found 28 bugs
798539, 2012-10-09 16:49:53+00:00, cf_tracking_firefox17, ?, ---
798539, 2012-10-10 23:38:36+00:00, cf_tracking_firefox17, -, ?
788423, 2012-11-07 19:17:04+00:00, cf_tracking_firefox17, ?, ---
788423, 2012-11-08 01:43:58+00:00, cf_tracking_firefox17, -, ?
776741, 2012-07-25 04:04:47+00:00, cf_tracking_firefox17, +, ---
776741, 2012-10-25 17:44:13+00:00, cf_tracking_firefox17, -, +
799875, 2012-10-10 15:39:22+00:00, cf_tracking_firefox17, ?, ---
799875, 2012-10-10 18:05:29+00:00, cf_tracking_firefox17, +, ?
800850, 2012-10-12 20:27:58+00:00, cf_tracking_firefox17, ?, ---
800850, 2012-10-12 20:47:27+00:00, cf_tracking_firefox17, +, ?
800850, 2012-10-15 17:10:31+00:00, cf_tracking_firefox17, -, +
781796, 2012-08-10 14:43:17+00:00, cf_tracking_firefox17, ?, ---
781796, 2012-08-15 21:01:01+00:00, cf_tracking_firefox17, +, ?
781796, 2012-10-10 17:00:18+00:00, cf_tracking_firefox17, ---, +
797703, 2012-10-04 08:19:51+00:00, cf_tracking_firefox17, ?, ---
797703, 2012-10-05 23:27:34+00:00, cf_tracking_firefox17, +, ?
797703, 2012-10-10 23:53:57+00:00, cf_tracking_firefox17, -, +
785708, 2012-08-27 03:44:12+00:00, cf_tracking_firefox17, ?, ---
785708, 2012-08-29 23:17:06+00:00, cf_tracking_firefox17, +, ?
785708, 2012-10-18 18:31:27+00:00, cf_tracking_firefox17, ?, +
785708, 2012-10-18 18:47:00+00:00, cf_tracking_firefox17, -, ?
801035, 2012-10-12 20:08:13+00:00, cf_tracking_firefox17, ?, ---
801035, 2012-10-16 00:13:25+00:00, cf_tracking_firefox17, ---, ?
801035, 2012-10-24 16:14:03+00:00, cf_tracking_firefox17, +, ---
801035, 2012-10-29 23:37:48+00:00, cf_tracking_firefox17, ---, +
788653, 2012-09-14 05:43:24+00:00, cf_tracking_firefox17, +, ---
788653, 2012-10-16 19:08:12+00:00, cf_tracking_firefox17, -, +
810984, 2012-11-16 04:37:19+00:00, cf_tracking_firefox17, ---, +
802239, 2012-10-16 23:20:18+00:00, cf_tracking_firefox17, ?, ---
802239, 2012-10-17 23:04:08+00:00, cf_tracking_firefox17, -, ?
804600, 2012-11-16 19:56:34+00:00, cf_tracking_firefox17, ?, ---
804600, 2012-11-16 21:35:21+00:00, cf_tracking_firefox17, ---, ?
806364, 2012-10-29 16:05:04+00:00, cf_tracking_firefox17, ?, ---
806364, 2012-10-29 22:43:45+00:00, cf_tracking_firefox17, +, ?
800198, 2012-10-11 00:09:23+00:00, cf_tracking_firefox17, ?, ---
800198, 2012-10-12 22:36:13+00:00, cf_tracking_firefox17, +, ?
800198, 2012-10-16 00:02:42+00:00, cf_tracking_firefox17, ---, +
779467, 2012-11-16 00:32:28+00:00, cf_tracking_firefox17, +, ---
798083, 2012-10-04 22:40:30+00:00, cf_tracking_firefox17, ?, ---
798083, 2012-10-05 23:27:22+00:00, cf_tracking_firefox17, +, ?
798083, 2012-10-29 23:36:32+00:00, cf_tracking_firefox17, ---, +
770626, 2012-11-07 08:55:16+00:00, cf_tracking_firefox17, ?, ---
770626, 2012-11-07 19:26:20+00:00, cf_tracking_firefox17, -, ?
803276, 2012-11-08 01:25:55+00:00, cf_tracking_firefox17, +, ---
803276, 2012-11-09 18:24:02+00:00, cf_tracking_firefox17, ---, +
778364, 2012-09-27 21:19:33+00:00, cf_tracking_firefox17, ?, ---
778364, 2012-09-28 22:12:35+00:00, cf_tracking_firefox17, +, ?
778364, 2012-10-16 22:10:20+00:00, cf_tracking_firefox17, ---, +
803518, 2012-10-19 22:28:38+00:00, cf_tracking_firefox17, -, ?
803518, 2012-10-19 22:32:11+00:00, cf_tracking_firefox17, ?, -
